scorer,,,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350
bodyparts,,,nose,nose,nose,center_of_shoulder,center_of_shoulder,center_of_shoulder,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,third_metacarpophalangeal_joint,third_metacarpophalangeal_joint,third_metacarpophalangeal_joint,tip_of_third_forelimb_phalanx,tip_of_third_forelimb_phalanx,tip_of_third_forelimb_phalanx,center_of_hip,center_of_hip,center_of_hip,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,fourth_metatarsophalangeal_joint,fourth_metatarsophalangeal_joint,fourth_metatarsophalangeal_joint,tip_of_fourth_hindlimb_phalanx,tip_of_fourth_hindlimb_phalanx,tip_of_fourth_hindlimb_phalanx
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,GX010337-sin-distor-correcto,img1526.png,790.22,356.76044,0.10893058,820.92615,1046.8606,0.17491704,826.2055,1058.5625,0.16396084,832.9206,1042.6766,0.21903875,841.75275,1068.0475,0.124658234,836.9603,1070.0253,0.02773491,836.5846,1080.8087,0.035084486,823.38556,1009.42725,0.6290897,832.46906,1007.4468,0.6603227,844.3185,998.95856,0.44301477,836.11523,978.87854,0.35465077,843.81146,990.84705,0.10388383,853.70575,975.5136,0.051608402
labeled-data,GX010337-sin-distor-correcto,img3864.png,1222.242,966.19305,0.26531005,1223.7222,944.91656,0.028739056,880.5861,891.7449,0.01994226,1237.0269,948.4936,0.053500075,1234.1039,964.38074,0.012392896,941.6456,106.89192,0.0066125323,1243.4232,949.2438,0.011968381,1233.3284,964.816,0.062020827,1225.6278,947.9027,0.048926804,1234.4877,952.1193,0.041408848,1230.7633,937.4277,0.0835467,1244.1758,950.21606,0.0071661603,888.98444,894.1789,0.013215441
labeled-data,GX010337-sin-distor-correcto,img0645.png,845.10846,294.42773,0.49786296,850.01135,238.3174,0.71775955,869.1747,239.64111,0.8687593,876.76855,224.13724,0.8917564,883.3288,239.9123,0.7280517,884.4217,246.84738,0.317324,885.313,256.0131,0.20184827,856.0098,175.54889,1.0,866.05286,174.01337,1.0,890.79645,164.25243,0.7575295,869.19403,153.04228,0.4941318,887.9142,167.75655,0.07359785,928.75555,227.84789,0.07954806
labeled-data,GX010337-sin-distor-correcto,img3209.png,1223.4728,967.6565,0.14094786,836.0735,1060.1293,0.12615952,844.58374,1065.5187,0.075495474,851.94867,1078.002,0.08826531,857.71124,1076.6116,0.1079792,857.9442,1076.841,0.028138246,855.30743,1073.3739,0.031841986,856.3268,1079.0829,0.11059339,846.98096,1062.4615,0.11301035,857.20917,1078.0472,0.5609936,846.5636,1060.7999,0.2745578,827.29504,1071.4066,0.014086619,854.5545,1082.9811,0.031337306
labeled-data,GX010337-sin-distor-correcto,img1436.png,825.909,686.96387,0.90139246,824.4097,637.21576,0.5224457,839.01556,637.23016,0.4949684,846.55664,625.2267,0.44193465,856.5405,627.60455,0.41173077,857.34106,631.99335,0.11282356,856.2292,639.195,0.11832964,832.4277,573.4894,0.29226038,843.4581,577.3499,0.3508299,857.59174,589.7708,0.62078655,848.62213,570.65466,0.5017466,860.37823,505.7396,0.046811294,858.63226,594.21454,0.040873352
labeled-data,GX010337-sin-distor-correcto,img3574.png,1223.4869,960.82495,0.1123559,1222.3756,942.90985,0.06749455,1226.7925,952.13257,0.060916744,1235.7056,952.27826,0.04931444,1241.0198,950.5122,0.013707728,1241.6146,951.34503,0.0053382884,853.01465,1085.7405,0.0048922743,1224.5575,960.03064,0.061139792,842.1521,1082.4415,0.050071638,1228.4225,954.71783,0.021309953,1232.3596,933.5195,0.03763613,1245.8662,952.03705,0.008874383,1244.2675,933.92975,0.012318749
labeled-data,GX010337-sin-distor-correcto,img1658.png,1228.026,960.2004,0.08712396,825.5745,1050.8529,0.09995167,830.8731,1055.6989,0.074745305,837.2779,1059.5948,0.13035412,849.8713,1075.1349,0.0774953,848.08923,1082.3108,0.023068255,837.76416,1088.6002,0.02598086,1235.9873,961.9168,0.079832695,834.11273,1056.7908,0.15818478,848.60333,1074.7015,0.30890617,835.66766,1057.4297,0.14791816,838.65497,1070.6959,0.021042842,854.57056,1075.251,0.062499326
labeled-data,GX010337-sin-distor-correcto,img2235.png,1224.9532,970.6366,0.3030253,1222.9979,951.29834,0.12558676,846.6603,1064.3564,0.039747637,850.3362,1068.665,0.054594185,851.3976,1065.0331,0.077315345,852.8321,1065.3035,0.035026737,851.4841,1079.7122,0.022707578,834.4381,1047.9236,0.22715941,839.1959,1048.2493,0.3247181,846.79,1051.3674,0.107513316,842.6518,1047.4175,0.0927287,828.69147,1071.164,0.02918117,851.2431,1075.4531,0.03509847
