scorer,,,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350
bodyparts,,,nose,nose,nose,center_of_shoulder,center_of_shoulder,center_of_shoulder,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,third_metacarpophalangeal_joint,third_metacarpophalangeal_joint,third_metacarpophalangeal_joint,tip_of_third_forelimb_phalanx,tip_of_third_forelimb_phalanx,tip_of_third_forelimb_phalanx,center_of_hip,center_of_hip,center_of_hip,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,fourth_metatarsophalangeal_joint,fourth_metatarsophalangeal_joint,fourth_metatarsophalangeal_joint,tip_of_fourth_hindlimb_phalanx,tip_of_fourth_hindlimb_phalanx,tip_of_fourth_hindlimb_phalanx
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,GX010405-sin-distor-correcto,img3836.png,956.20233,1017.06635,0.2500026,968.2201,867.4973,0.18263535,968.3069,1001.8306,0.1960785,969.12354,992.55444,0.17865594,975.22485,999.6475,0.12255658,978.12695,1002.0887,0.05458945,976.13617,1008.11523,0.03995551,981.8893,791.1509,0.17806773,993.38684,791.27606,0.15636593,1003.9458,825.4376,0.14634609,992.8894,799.00476,0.26796213,1007.32745,781.16986,0.07383957,1040.2764,1061.1199,0.03737533
labeled-data,GX010405-sin-distor-correcto,img2577.png,1059.7888,863.9944,0.02650559,945.42786,916.4462,0.27694836,965.8302,843.44806,0.21654546,977.272,835.7742,0.23165806,984.9819,838.05615,0.15538682,987.16656,843.69025,0.06792347,986.0719,853.4285,0.07185407,951.48456,843.207,0.6160063,964.86176,842.39355,0.65773964,989.2107,821.9754,0.9507086,974.76373,796.27466,0.59886444,975.2935,907.9524,0.12495003,1001.6637,749.59814,0.053889714
labeled-data,GX010405-sin-distor-correcto,img0497.png,988.8637,47.998775,0.06237234,985.6223,22.970505,0.13490403,987.1477,41.177425,0.10004819,997.85547,34.032555,0.10561847,995.2671,43.364315,0.071312204,995.9072,45.57093,0.02139491,993.72845,49.251167,0.02189291,983.1577,737.6586,0.03094707,1003.3877,711.5988,0.048282497,993.5283,36.82493,0.09825251,1007.93933,709.5795,0.038950752,982.22784,1063.1344,0.016918173,993.42474,41.10351,0.021206478
labeled-data,GX010405-sin-distor-correcto,img4095.png,929.4149,1024.2793,0.50810117,942.17944,878.4509,0.20992494,948.18475,957.87744,0.12703237,957.42365,954.53735,0.24172437,964.8493,964.1386,0.119842336,963.7081,968.53986,0.03453308,959.8912,976.46906,0.037943054,941.761,880.89185,0.32866836,951.2489,880.1982,0.33775303,977.30164,855.18536,0.30316275,966.5203,831.1902,0.5671693,978.14856,819.29504,0.06399812,990.0233,797.5537,0.02599182
labeled-data,GX010405-sin-distor-correcto,img1448.png,960.6339,401.6198,0.867341,956.3726,355.78006,0.4608167,967.16626,356.48706,0.5581525,983.4338,350.91156,0.45558757,985.7647,359.0912,0.338382,984.9311,365.79175,0.088349305,984.31854,372.67517,0.1004288,960.67834,298.29114,1.0,971.5114,296.71744,1.0,987.62604,286.918,0.48834893,976.2815,267.30298,0.26030666,973.8141,203.35275,0.05760303,984.8622,189.55106,0.041857816
labeled-data,GX010405-sin-distor-correcto,img3404.png,974.98645,737.0366,0.47895128,959.8594,864.44305,0.18299474,971.4489,865.8326,0.144885,981.6157,927.45374,0.15916497,985.6197,929.05475,0.12360953,992.436,865.83276,0.035092503,992.2434,869.0904,0.028988121,958.72656,865.76953,0.5226445,970.3767,866.2405,0.53432256,996.63635,836.0866,0.5268533,984.4834,818.94965,0.5846421,981.7554,921.61554,0.09665503,994.7977,908.6546,0.035686832
labeled-data,GX010405-sin-distor-correcto,img2340.png,1086.7715,388.20215,0.08863004,945.3378,916.4425,0.30775547,957.3203,921.4157,0.1846316,970.14014,918.95886,0.2900846,975.1315,928.1679,0.1595206,985.68854,843.317,0.08586829,986.3485,852.96545,0.05559387,952.4958,848.1316,0.762642,964.9157,847.17847,0.75920737,985.9694,823.1291,0.8031704,973.997,798.2445,0.8324145,972.71045,888.9075,0.08263976,985.0264,922.43933,0.042115614
labeled-data,GX010405-sin-distor-correcto,img1210.png,956.4589,262.51105,0.76513696,960.442,222.40387,0.64796937,970.26636,223.94888,0.49620965,975.95605,212.35045,0.6854139,979.33765,218.64912,0.29575875,981.9535,225.80219,0.082633145,980.38074,235.50327,0.08449987,961.69946,184.673,0.53090984,972.34045,182.7433,0.43667838,979.00964,203.90088,0.3342265,980.11017,828.55035,0.20852676,990.8129,821.5512,0.08075257,968.5995,138.83263,0.038147673
